Date,80237,80236,80239,80238,80246,80247,80249,80010,80123,80202,80204,80203,80206,80205,80207,80210,80209,80212,80211,80216,80219,80218,80221,80220,80223,80222,80224,80227,80231,80230,80235
1998-07-31,174100,141800,115600,172800,145400,93600,143000,91000,158600,186300,99400,105400,203900,99800,112400,178900,223700,133000,129800,75500,102600,148800,113500,164300,102700,140400,154200,154000,146100,245400,133500
1998-08-31,175400,142800,116600,175000,146700,94000,144200,92000,159500,189100,100500,107000,206300,101500,114400,181200,226300,134300,131500,76100,104000,150400,114500,166000,103800,141400,155900,154700,146600,244900,134500
1998-09-30,176800,143700,117500,177200,148000,94400,145300,93000,160500,192000,101600,108600,208800,103200,116300,183600,228900,135600,133200,77100,105200,152000,115400,167700,104900,142500,157600,155500,147100,244600,135500
1998-10-31,178400,144700,118300,179200,149400,94900,146300,94000,161600,194900,102800,110300,211400,105000,118200,186100,231600,137000,135000,78300,106500,153800,116400,169300,106000,143600,159200,156300,147700,244400,136500
1998-11-30,180100,145800,119100,181300,150900,95300,147300,95200,162800,197900,104000,112000,214100,106800,120000,188700,234400,138500,136700,79400,107800,155600,117400,171000,107200,144700,160900,157200,148300,244500,137700
1998-12-31,181900,147000,119800,183300,152600,95900,148200,96400,164200,201000,105300,113800,217100,108700,121800,191400,237300,140200,138600,80400,109200,157700,118600,172800,108600,146100,162600,158200,148900,244900,139000
1999-01-31,183900,148300,120600,185200,154400,96500,149100,97800,165700,204200,106800,115700,220400,110600,123500,194100,240300,142000,140600,81500,110600,160000,119800,174800,110000,147500,164400,159400,149700,245700,140400
1999-02-28,185600,149600,121300,186900,156000,97100,149900,99100,167200,207200,108100,117500,223600,112500,125200,196700,243300,143800,142600,82600,112000,162300,120900,176800,111400,148900,166000,160700,150500,246600,141700
1999-03-31,187300,151000,122100,188400,157600,97800,150600,100400,168700,210200,109400,119300,226900,114400,126900,199100,246300,145600,144600,84000,113300,164600,122000,178900,112800,150300,167400,161900,151400,247700,143100
1999-04-30,189100,152400,122900,189800,159300,98700,151300,101800,170400,213400,110800,121100,230300,116200,128500,201500,249400,147500,146700,86100,114800,166900,123200,181100,114200,151900,168900,163400,152400,249000,144500
1999-05-31,190800,154000,123900,191200,160900,99500,152100,103200,172200,216800,112200,122900,233900,117900,130100,203900,252600,149500,148800,88200,116300,169300,124400,183400,115800,153500,170400,164900,153600,250600,145900
1999-06-30,192600,155600,124900,192600,162700,100500,152900,104800,174100,220300,113700,124700,237500,119700,131800,206300,255900,151500,151000,89600,117800,171800,125700,185800,117500,155200,171800,166400,154900,252500,147400
1999-07-31,194500,157300,126000,194100,164500,101600,153800,106400,175900,224100,115300,126700,241300,121600,133600,208700,259200,153500,153100,91000,119300,174200,127000,188300,119200,156900,173200,168100,156400,254800,148900
1999-08-31,196400,159100,127200,195600,166300,102700,154700,108100,177800,228000,116900,128600,245000,123300,135400,211100,262600,155500,155300,92600,120900,176800,128400,190700,120900,158700,174700,169800,158100,257400,150500
1999-09-30,198400,161000,128500,197400,168200,103900,155800,109900,179700,232000,118500,130600,248700,125200,137300,213500,266000,157500,157400,93900,122400,179300,129900,193200,122700,160600,176000,171500,159900,260200,152100
1999-10-31,200700,162900,130000,199400,170000,105100,157000,111700,181500,236200,120300,132600,252400,127200,139400,215900,269500,159500,159600,94900,124000,181900,131500,195900,124500,162600,177500,173200,161900,263300,153700
1999-11-30,203100,164800,131600,201700,172000,106400,158400,113500,183500,240500,122100,134600,256300,129300,141700,218400,273200,161600,162000,96000,125700,184600,133100,198600,126500,164500,179000,175000,164000,266700,155400
1999-12-31,205900,166700,133400,204600,174200,107700,160100,115600,185500,244900,124200,136800,260400,131700,144200,221200,277300,163800,164600,97200,127500,187500,135100,201600,128600,166600,180800,176900,166400,270600,157200
2000-01-31,208800,168800,135500,207900,176400,109100,161900,117800,187600,249400,126500,139200,264700,134300,147000,224100,281500,166200,167400,98400,129500,190500,137300,204700,130800,168800,182700,178900,168800,274800,159000
2000-02-29,211700,170800,137500,211400,178400,110500,163800,119900,189800,253800,128700,141400,269000,137000,149800,227000,285800,168400,170300,99900,131500,193700,139600,207900,132900,171000,184600,180900,171200,279200,160800
2000-03-31,214600,172700,139700,214900,180300,111900,165700,122100,192000,257900,130900,143700,273200,139700,152700,229700,290100,170600,173200,101500,133600,196800,141900,211000,134900,173100,186500,182800,173600,283500,162500
2000-04-30,217500,174700,141900,218500,182300,113400,167600,124300,194300,262100,133200,145900,277400,142400,155600,232400,294400,172900,176200,103600,135600,200100,144300,214000,137000,175100,188500,184700,175900,288100,164100
2000-05-31,220400,176600,144000,222200,184200,114800,169400,126500,196500,266200,135500,148100,281400,145100,158500,234900,298500,175000,179000,106000,137500,203300,146700,216900,139000,177200,190500,186500,178200,292700,165700
2000-06-30,223300,178500,146200,225900,186100,116300,171200,128600,198600,270200,137700,150400,285300,147700,161400,237300,302600,177200,181600,109000,139400,206500,149100,219700,140900,179200,192500,188300,180500,297400,167300
2000-07-31,226200,180300,148300,229700,187900,117800,172900,130800,200800,274200,139900,152600,289100,150100,164100,239600,306600,179300,184100,111700,141200,209800,151500,222300,142700,181100,194600,190100,182700,302200,168900
2000-08-31,228900,182100,150400,233300,189700,119300,174500,132900,202800,278000,142100,154700,292600,152400,166700,241800,310200,181300,186300,113600,142800,213000,153800,224700,144500,183000,196600,191900,184900,307100,170400
2000-09-30,231500,183900,152300,236800,191600,120800,175900,135000,204800,281500,144100,156800,295800,154600,169100,243900,313500,183300,188300,115400,144400,215900,155900,226900,146100,184900,198600,193600,186900,311900,171900
2000-10-31,233900,185600,154200,240200,193300,122200,177400,136900,206600,284800,146000,158800,298800,156600,171300,245900,316700,185300,190100,117700,145800,218800,157900,229100,147600,186700,200500,195300,188800,316500,173300
2000-11-30,236200,187200,156000,243500,195100,123600,178900,138800,208400,287900,148000,160700,301400,158700,173400,248000,319700,187200,191900,119700,147200,221500,159800,231200,149100,188400,202400,197100,190600,321000,174700
2000-12-31,238300,188900,157900,246900,197000,124800,180300,140600,210100,290700,149900,162700,303700,160600,175300,250300,322500,189300,193700,121600,148500,224000,161600,233300,150500,190100,204300,199000,192200,325500,176000
2001-01-31,240200,190400,159600,250100,198700,125900,181700,142300,211700,293100,151700,164500,305700,162500,177000,252500,325000,191400,195500,123100,149900,226500,163200,235300,151800,191800,206100,200900,193800,329800,177400
2001-02-28,241700,191900,161300,253100,200200,126900,183000,143900,213100,295100,153400,166200,307400,164300,178500,254600,327200,193300,197200,124400,151100,228700,164600,237200,153100,193300,207800,202800,195200,333700,178600
2001-03-31,242800,193200,162900,256000,201600,127700,184300,145300,214300,296700,155000,167700,308800,166100,179800,256500,329100,195200,198900,126300,152300,230700,165900,239000,154200,194700,209400,204700,196400,337400,179700
2001-04-30,243700,194500,164300,258600,202900,128500,185500,146500,215500,298100,156500,169000,309900,167900,180900,258200,330800,197000,200700,128500,153500,232500,167100,240800,155400,195900,210800,206700,197500,340800,180600
2001-05-31,244300,195700,165600,261100,204100,129000,186600,147500,216600,299300,157900,170200,310800,169600,181700,259800,332100,198800,202400,130300,154600,234000,168100,242300,156400,197000,212000,208500,198500,343900,181500
2001-06-30,244700,196800,166900,263700,205200,129500,187600,148400,217600,300400,159200,171100,311500,171400,182400,261200,333100,200500,204200,131600,155600,235200,169000,243700,157400,197900,213200,210300,199300,346600,182300
2001-07-31,245100,197900,168000,266400,206200,129900,188600,149200,218400,301400,160400,171900,312200,173300,183000,262600,334000,202000,205900,132400,156700,236200,169900,245000,158300,198800,214200,212000,200000,349200,183200
2001-08-31,245400,198900,169100,269200,207200,130100,189700,149900,219100,302300,161500,172400,312800,175100,183500,263900,334800,203400,207500,133300,157700,237000,170700,246100,159300,199600,215200,213600,200700,351600,184000
2001-09-30,245700,199800,170200,272100,208100,130300,190700,150500,219700,303100,162400,172800,313600,177000,184000,265300,335500,204700,209200,134700,158600,237600,171500,247100,160100,200300,216000,215000,201300,353800,184700
2001-10-31,246000,200700,171100,275100,209000,130400,191800,151000,220100,303800,163400,173200,314300,178900,184600,266700,336300,205900,210900,136300,159500,238100,172200,248000,161000,201100,216700,216400,201800,355900,185400
2001-11-30,246400,201500,172000,278300,210000,130400,192900,151500,220500,304300,164200,173500,315100,180900,185200,268200,337100,207000,212500,137500,160400,238400,172900,248700,161800,201900,217500,217600,202200,357800,186000
2001-12-31,246800,202300,172800,281500,210800,130300,194000,152000,221000,304700,165000,173800,315800,182700,185900,269700,337900,208000,214000,138400,161200,238600,173500,249500,162600,202700,218100,218700,202500,359600,186700
2002-01-31,247000,203000,173600,284500,211600,130200,195100,152500,221500,304800,165700,174100,316400,184400,186800,271200,338700,208900,215300,139200,161900,238800,174100,250100,163400,203400,218800,219600,202700,361400,187300
2002-02-28,247100,203700,174300,287200,212300,129900,196100,152900,222100,304800,166300,174500,316900,186000,187800,272600,339500,209600,216400,139800,162600,238900,174700,250700,164000,204100,219500,220400,202800,363200,187900
2002-03-31,247000,204300,174900,289500,213000,129700,196900,153500,222800,304500,166900,174800,317400,187300,188800,273800,340100,210400,217400,140400,163300,239000,175300,251200,164700,204800,220100,221100,202800,364700,188500
2002-04-30,246700,205000,175400,291300,213500,129500,197600,154000,223600,304200,167300,175200,317800,188300,189900,274800,340700,211100,218300,140400,163900,238900,175800,251600,165200,205400,220700,221500,202600,366200,189000
2002-05-31,246300,205700,175800,292700,214000,129300,198200,154500,224400,303900,167800,175500,318000,189000,190900,275600,341200,211900,219100,140400,164500,238800,176400,251800,165700,205900,221300,221800,202300,367500,189500
2002-06-30,245800,206300,176200,293800,214500,129100,198600,155000,225200,303700,168300,175900,318300,189500,192000,276200,341700,212600,219600,140700,165200,238700,177000,252100,166100,206400,221800,222000,202000,368700,189900
2002-07-31,245200,207100,176700,294500,214900,128800,198900,155600,225900,303600,168800,176300,318600,189900,193100,276700,342100,213400,220100,141100,165800,238600,177600,252400,166500,206900,222300,222100,201800,369900,190500
2002-08-31,244700,207900,177000,295000,215400,128500,199100,156100,226500,303700,169400,176500,318900,190200,194100,277100,342500,214100,220400,141300,166500,238600,178200,252700,167000,207400,222800,222200,201700,371100,191000
2002-09-30,244400,208800,177400,295300,215900,128200,199300,156700,227100,304000,170000,176800,319500,190400,195100,277300,343000,214900,220800,141900,167100,238600,178800,253100,167500,208000,223400,222300,201600,372400,191600
2002-10-31,244100,209700,177900,295500,216500,127900,199300,157300,227600,304300,170700,177000,320300,190500,196100,277500,343500,215800,221200,143100,167700,238800,179500,253400,168000,208600,223900,222400,201600,373700,192200
2002-11-30,243800,210800,178300,295400,217100,127400,199300,157900,228000,304500,171400,177300,321400,190700,197100,277400,344200,216700,221500,143700,168200,239200,180100,254000,168400,209200,224500,222500,201500,375000,192800
2002-12-31,243500,211900,178800,295000,217600,126800,199100,158500,228300,304600,172100,177500,322500,190800,197900,277100,345100,217600,221700,143500,168700,239800,180700,254300,168800,209700,225000,222500,201500,376100,193200
2003-01-31,243700,212600,179300,294500,218600,126400,198800,159000,228600,305100,172600,177500,323300,190900,198400,277000,346100,218700,222000,143500,169100,240400,181100,254200,169200,210200,225400,222500,201600,376500,193600
